REGION1;0,1;589,2;590,266;4,268;
REGION2;1330,2;1915,2;1919,268;1332,267;
REGION3;2,811;587,814;589,1077;2,1076;
REGION4;1331,813;1915,811;1919,1079;1334,1078;
SUBREGION1;103,76;414,77;408,182;98,170;
SUBREGION2;1479,66;1808,57;1805,204;1475,200;
SUBREGION3;139,900;447,888;439,991;137,985;
SUBREGION4;1427,874;1823,868;1768,1024;1438,1007;
FULLMAPPING;2,5;1915,4;1915,1076;3,1071;
